%Step number	n_step	bal_step	jobb_step	r_step	x_bal_step	x_jobb_step
0	69	77	146	7.142857142857136E-4	0.19	0.19071428571428573
1	71	146	217	7.142857142857136E-4	0.19071428571428573	0.19142857142857145
2	72	217	289	7.142857142857136E-4	0.19142857142857145	0.19214285714285717
3	74	289	363	7.142857142857136E-4	0.19214285714285717	0.1928571428571429
4	75	363	438	7.142857142857136E-4	0.1928571428571429	0.19357142857142862
5	77	438	515	7.142857142857136E-4	0.19357142857142862	0.19428571428571434
6	78	515	593	7.142857142857136E-4	0.19428571428571434	0.19500000000000006
7	80	593	673	7.142857142857136E-4	0.19500000000000006	0.19571428571428579
8	82	673	755	7.142857142857136E-4	0.19571428571428579	0.1964285714285715
9	83	755	838	7.142857142857136E-4	0.1964285714285715	0.19714285714285723
10	85	838	923	7.142857142857136E-4	0.19714285714285723	0.19785714285714295
11	83	923	1006	7.142857142857136E-4	0.19785714285714295	0.19857142857142868
12	82	1006	1088	7.142857142857136E-4	0.19857142857142868	0.1992857142857144
13	80	1088	1168	7.142857142857136E-4	0.1992857142857144	0.20000000000000012
14	78	1168	1246	7.142857142857136E-4	0.20000000000000012	0.20071428571428584
15	77	1246	1323	7.142857142857136E-4	0.20071428571428584	0.20142857142857157
16	75	1323	1398	7.142857142857136E-4	0.20142857142857157	0.2021428571428573
17	74	1398	1472	7.142857142857136E-4	0.2021428571428573	0.202857142857143
18	72	1472	1544	7.142857142857136E-4	0.202857142857143	0.20357142857142874
19	71	1544	1615	7.142857142857136E-4	0.20357142857142874	0.20428571428571446
20	69	1615	1677	7.142857142857136E-4	0.20428571428571446	0.205
