%Szakasz_index	VTX	mesh_density
0	0.0	250.0
1	0.004	250.0
2	0.008	250.0
3	0.012	250.0
4	0.016	250.0
5	0.02	250.0
6	0.024	250.0
7	0.028	250.0
8	0.032	249.99999999999977
9	0.036000000000000004	250.0000000000002
10	0.04	250.0000000000002
11	0.044	249.99999999999977
12	0.048	249.99999999999977
13	0.052000000000000005	250.0000000000002
14	0.056	250.0000000000002
15	0.06	249.99999999999977
16	0.064	249.99999999999977
17	0.068	249.99999999999977
18	0.07200000000000001	250.00000000000065
19	0.076	249.99999999999977
20	0.08	249.99999999999977
21	0.084	250.00000000000065
22	0.088	249.99999999999977
23	0.092	249.99999999999977
24	0.096	249.99999999999977
25	0.1	224.999999999988
26	0.10444444444444469	1269.4672527711834
27	0.10523217646180634	1430.8448795810432
28	0.10593106424081758	1568.5148750659991
29	0.10656860999565648	1689.7190438870102
30	0.10716042435888909	1798.5883045310104
31	0.10771641596490632	1897.7546693062584
32	0.1082433544655322	1989.021918222911
33	0.10874611413390903	2073.6922177265
34	0.10922834577438668	2152.743120411595
35	0.10969286938174064	2226.9312638908987
36	0.11014191781723334	2296.856864444519
37	0.11057729540452668	2363.0057729293567
38	0.11100048522972983	2425.7779768070163
39	0.11141272411126023	2485.50754500149
40	0.1118150564244375	2542.476967403852
41	0.11220837365516195	2596.9277060294335
42	0.11259344405880786	2649.068116136473
43	0.11297093529578611	2699.0794983210635
44	0.11334143197831141	2747.120794906187
45	0.11370544946230929	2793.332284964169
46	0.11406344482339925	2837.8385276473227
47	0.11441582569012497	2880.7507330014546
48	0.11476295742510785	2922.168690984084
49	0.11510516901716458	2962.1823554864127
50	0.11544275795666652	3000.8731560204114
51	0.11577599430089312	3038.315092285333
52	0.11610512408816868	3074.5756540513316
53	0.11643037222401544	3109.7165993207345
54	0.11675194493588842	3143.7946166093493
55	0.11707003187283932	3176.861891794141
56	0.117384807910974	3208.9665958383234
57	0.11769643471360164	3240.1533065034923
58	0.11800506208564383	3270.4633746662143
59	0.11831082915453879	3299.9352438908472
60	0.11861386540406862	3328.6047303588907
