%Szakasz_index	VTX	mesh_density
0	-0.15000000000000002	28571.428571422653
1	-0.14996500000000001	28960.09301099924
2	-0.14993046972416077	29343.097104745375
3	-0.1498963901586524	29720.6697933451
4	-0.14986274354143436	30093.02495055217
5	-0.14982951324964272	30460.36273814886
6	-0.14979668369969296	30822.870808147974
7	-0.14976424025838522	31180.725372536348
8	-0.14973216916356455	31534.092157973013
9	-0.14970045745310875	31883.12726044635
10	-0.14966909290119917	32227.977912258182
11	-0.14963806396098076	32568.78317206202
12	-0.14960735971284483	32905.67454723487
13	-0.1495769698176745	33238.77655678309
14	-0.14954688447448228	33568.207240980206
15	-0.14951709438194558	33894.078624514295
16	-0.14948759070340992	34216.49713763127
17	-0.1494583650349852	34535.56400010813
18	-0.14942940937640678	34851.37557209548
19	-0.1494007161043742	35164.02367493583
20	-0.14937227794811414	35473.595885472634
21	-0.14934408796694537	35780.175805868515
22	-0.14931613952964798	36083.84331221961
23	-0.14928842629546316	36384.674783061964
24	-0.14926094219656816	36682.743310432095
25	-0.14923368142188898	36978.11889480499
26	-0.1492066384021279	37270.86862517602
27	-0.14917980779589607	37561.0568461638
28	-0.14915318447685327	37848.74531273315
29	-0.14912676352176646	38133.993333986975
30	-0.14910054019940833	38416.857906775535
31	-0.14907450996022462	38697.39384031118
32	-0.1490486684267062	38975.6538716818
33	-0.14902301138440763	39251.688774407376
34	-0.14899753477356045	39525.54745911022
35	-0.14897223468123322	39797.27706812187
36	-0.14894710733399566	40066.923063615286
37	-0.14892214909104767	40334.52931049633
38	-0.14889735643777777	40600.13815387095
39	-0.14887272597971848	40863.79049184576
40	-0.14884825443686933	41125.525843968746
41	-0.1488239386383603	41385.382415300715
42	-0.14879977551743115	41643.39715706182
43	-0.14877576210670415	41899.60582338847
44	-0.14875189553372933	42154.04302513927
45	-0.14872817301678348	42406.7422803783
46	-0.1487045918609053	42657.73606210321
47	-0.14868114945415065	42907.055843376635
48	-0.14865784326405337	43154.73214005904
49	-0.14863467083427778	43400.794550844126
50	-0.14861162978145032	43645.27179568865
51	-0.148588717792159	43888.191751773746
52	-0.14856593262010961	44129.58148785445
53	-0.14854327208342913	44369.46729657048
54	-0.14852073406210659	44607.874725571586
55	-0.14849831649556364	44844.82860647058
56	-0.14847601738034624	45080.35308272537
57	-0.14845383476793048	45314.47163613071
58	-0.14843176676263561	45547.20711204803
59	-0.14840981151963817	45778.58174293981
60	-0.14838796724308073	46008.61717162287
61	-0.14836623218427056	46237.334472564115
62	-0.14834460463996232	46464.754172932844
63	-0.14832308295072066	46690.896271922684
64	-0.14830166549935764	46915.78025989708
65	-0.14828035070944132	47139.42513617815
66	-0.14825913704387134	47361.84942636
67	-0.14823802300351793	47583.07119837228
68	-0.1482170071259208	47803.10807858604
69	-0.14819608798404502	48021.97726650139
70	-0.14817526418509042	48239.695549187156
71	-0.14815453436935225	48456.279314931766
72	-0.14813389720912992	48671.74456646907
73	-0.14811335140768173	48886.10693366078
74	-0.14809289569822306	49099.381685261695
75	-0.1480725288429659	49311.58374080461
76	-0.14805224963219757	49522.72768148653
77	-0.14803205688339682	49732.82776093538
78	-0.1480119494403854	49941.89791535989
79	-0.1479919261725133	50149.95177340302
80	-0.14797198597387626	50357.002665632805
81	-0.14795212776256372	50563.06363332847
82	-0.147932350479936	50768.14743756878
83	-0.1479126530899292	50972.26656739914
84	-0.1478930345783867	51175.43324781903
85	-0.1478734939524157	51377.65944765809
86	-0.147854030239768	51578.956886978485
87	-0.14783464248824385	51779.33704429697
88	-0.14781532976511755	51978.81116357122
89	-0.1477960911565843	52177.39026052183
90	-0.1477769257672268	52375.085129592844
91	-0.14775783271950144	52571.90634964213
92	-0.14773881115324228	52767.86429028348
93	-0.14771986022518313	52962.96911734433
94	-0.14770097910849603	53157.230798717035
95	-0.147682166992346	53350.65910951484
96	-0.14766342308146108	53543.26363737277
97	-0.14764474659571727	53735.05378718549
98	-0.14762613676973738	53926.038786393445
99	-0.1476075928525036	54116.22768931441
100	-0.1475891141069831	54305.62938163633
101	-0.14757069980976592	54494.25258510134
102	-0.14755234925071498	54682.10586133618
103	-0.1475340617326275	54869.197616069265
104	-0.1475158365709075	55055.536103364146
105	-0.14749767309324882	55241.129428803535
106	-0.14747957063932834	55425.98555382823
107	-0.14746152856050904	55610.112299008804
108	-0.14744354621955236	55793.517347538414
109	-0.1474256229903397	55976.20824856792
110	-0.14740775825760255	56158.1924205117
111	-0.14738995141666095	56339.477154285036
112	-0.14737220187317013	56520.069615901644
113	-0.1473545090428747	56699.97685024217
114	-0.14733687235137055	56879.20578322962
115	-0.14731929123387374	57057.763224748334
116	-0.14730176513499635	57235.65587167379
117	-0.14728429350852906	57412.89031007393
118	-0.14726687581723014	57589.47301808309
119	-0.14724951153262059	57765.410368155
120	-0.14723220013478533	57940.70862948138
121	-0.1472149411121801	58115.37397046525
122	-0.1471977339614439	58289.41246085109
123	-0.14718057818721694	58462.830073949255
124	-0.1471634733019636	58635.63268874671
125	-0.14714641882580048	58807.82609197481
126	-0.14712941428632922	58979.415980306134
127	-0.14711245921847413	59150.4079619868
128	-0.14709555316432413	59320.80755893786
129	-0.14707869567297918	59490.62020863993
130	-0.1470618863004009	59659.85126587446
131	-0.14704512460926722	59828.506004498595
132	-0.147028410168831	59996.58961894013
133	-0.14701174255478242	60164.10722619042
134	-0.14699512134911505	60331.06386718968
135	-0.14697854613999556	60497.46450868449
136	-0.14696201652163682	60663.31404423502
