%Szakasz_index	x_coord	mesh_density
0	-0.14998250000000002	28571.428571422653
1	-0.1499477348620804	28960.09301099924
2	-0.14991342994140658	29343.097104745375
3	-0.1498795668500434	29720.6697933451
4	-0.14984612839553854	30093.02495055217
5	-0.14981309847466784	30460.36273814886
6	-0.1497804619790391	30822.870808147974
7	-0.14974820471097489	31180.725372536348
8	-0.14971631330833665	31534.092157973013
9	-0.14968477517715395	31883.12726044635
10	-0.14965357843108995	32227.977912258182
11	-0.14962271183691278	32568.78317206202
12	-0.14959216476525966	32905.67454723487
13	-0.14956192714607838	33238.77655678309
14	-0.14953198942821394	33568.207240980206
15	-0.14950234254267775	33894.078624514295
16	-0.14947297786919755	34216.49713763127
17	-0.14944388720569599	34535.56400010813
18	-0.1494150627403905	34851.37557209548
19	-0.14938649702624418	35164.02367493583
20	-0.14935818295752976	35473.595885472634
21	-0.1493301137482967	35780.175805868515
22	-0.14930228291255557	36083.84331221961
23	-0.14927468424601564	36384.674783061964
24	-0.14924731180922857	36682.743310432095
25	-0.14922015991200843	36978.11889480499
26	-0.14919322309901198	37270.86862517602
27	-0.14916649613637467	37561.0568461638
28	-0.14913997399930987	37848.74531273315
29	-0.1491136518605874	38133.993333986975
30	-0.14908752507981649	38416.857906775535
31	-0.1490615891934654	38697.39384031118
32	-0.1490358399055569	38975.6538716818
33	-0.14901027307898404	39251.688774407376
34	-0.14898488472739685	39525.54745911022
35	-0.14895967100761442	39797.27706812187
36	-0.14893462821252168	40066.923063615286
37	-0.1489097527644127	40334.52931049633
38	-0.14888504120874813	40600.13815387095
39	-0.1488604902082939	40863.79049184576
40	-0.14883609653761481	41125.525843968746
41	-0.14881185707789574	41385.382415300715
42	-0.14878776881206765	41643.39715706182
43	-0.14876382882021674	41899.60582338847
44	-0.1487400342752564	42154.04302513927
45	-0.14871638243884439	42406.7422803783
46	-0.14869287065752795	42657.73606210321
47	-0.148669496359102	42907.055843376635
48	-0.14864625704916556	43154.73214005904
49	-0.14862315030786405	43400.794550844126
50	-0.14860017378680465	43645.27179568865
51	-0.14857732520613431	43888.191751773746
52	-0.14855460235176937	44129.58148785445
53	-0.14853200307276787	44369.46729657048
54	-0.1485095252788351	44607.874725571586
55	-0.14848716693795494	44844.82860647058
56	-0.14846492607413836	45080.35308272537
57	-0.14844280076528305	45314.47163613071
58	-0.14842078914113688	45547.20711204803
59	-0.14839888938135945	45778.58174293981
60	-0.14837709971367563	46008.61717162287
61	-0.14835541841211644	46237.334472564115
62	-0.14833384379534148	46464.754172932844
63	-0.14831237422503915	46690.896271922684
64	-0.1482910081043995	46915.78025989708
65	-0.1482697438766563	47139.42513617815
66	-0.14824858002369462	47361.84942636
67	-0.14822751506471937	47583.07119837228
68	-0.14820654755498291	47803.10807858604
69	-0.14818567608456773	48021.97726650139
70	-0.14816489927722132	48239.695549187156
71	-0.14814421578924108	48456.279314931766
72	-0.1481236243084058	48671.74456646907
73	-0.1481031235529524	48886.10693366078
74	-0.1480827122705945	49099.381685261695
75	-0.14806238923758175	49311.58374080461
76	-0.14804215325779718	49522.72768148653
77	-0.14802200316189112	49732.82776093538
78	-0.14800193780644935	49941.89791535989
79	-0.14798195607319478	50149.95177340302
80	-0.14796205686822	50357.002665632805
81	-0.14794223912124987	50563.06363332847
82	-0.1479225017849326	50768.14743756878
83	-0.14790284383415797	50972.26656739914
84	-0.14788326426540122	51175.43324781903
85	-0.14786376209609187	51377.65944765809
86	-0.14784433636400593	51578.956886978485
87	-0.1478249861266807	51779.33704429697
88	-0.14780571046085092	51978.81116357122
89	-0.14778650846190555	52177.39026052183
90	-0.14776737924336414	52375.085129592844
91	-0.14774832193637186	52571.90634964213
92	-0.1477293356892127	52767.86429028348
93	-0.14771041966683957	52962.96911734433
94	-0.14769157305042102	53157.230798717035
95	-0.14767279503690353	53350.65910951484
96	-0.14765408483858916	53543.26363737277
97	-0.14763544168272733	53735.05378718549
98	-0.1476168648111205	53926.038786393445
99	-0.14759835347974337	54116.22768931441
100	-0.14757990695837453	54305.62938163633
101	-0.14756152453024046	54494.25258510134
102	-0.14754320549167124	54682.10586133618
103	-0.1475249491517675	54869.197616069265
104	-0.14750675483207815	55055.536103364146
105	-0.14748862186628858	55241.129428803535
106	-0.14747054959991868	55425.98555382823
107	-0.1474525373900307	55610.112299008804
108	-0.14743458460494602	55793.517347538414
109	-0.14741669062397111	55976.20824856792
110	-0.14739885483713175	56158.1924205117
111	-0.14738107664491554	56339.477154285036
112	-0.14736335545802243	56520.069615901644
113	-0.1473456906971226	56699.97685024217
114	-0.14732808179262213	56879.20578322962
115	-0.14731052818443505	57057.763224748334
116	-0.1472930293217627	57235.65587167379
117	-0.1472755846628796	57412.89031007393
118	-0.14725819367492538	57589.47301808309
119	-0.14724085583370294	57765.410368155
120	-0.1472235706234827	57940.70862948138
121	-0.147206337536812	58115.37397046525
122	-0.14718915607433042	58289.41246085109
123	-0.14717202574459026	58462.830073949255
124	-0.14715494606388205	58635.63268874671
125	-0.14713791655606484	58807.82609197481
126	-0.14712093675240168	58979.415980306134
127	-0.14710400619139913	59150.4079619868
128	-0.14708712441865165	59320.80755893786
129	-0.14707029098669006	59490.62020863993
130	-0.14705350545483406	59659.85126587446
131	-0.1470367673890491	59828.506004498595
132	-0.1470200763618067	59996.58961894013
133	-0.14700343195194873	60164.10722619042
134	-0.1469868337445553	60331.06386718968
135	-0.1469702813308162	60497.46450868449
136	-0.14695377430790554	60663.31404423502
137	-0.14693731227885998	60828.61729627792
138	-0.14692089485245968	60993.37901700193
139	-0.14690452164311296	61157.603890470535
140	-0.14688819227074323	61321.2965333144
141	-0.14687190636067946	61484.46149644679
142	-0.1468556635435489	61647.10326635371
143	-0.14683946345517288	61809.226265932695
144	-0.14682330573646513	61970.83485666603
145	-0.14680719003333265	62131.933338846924
146	-0.14679111599657882	62292.52595322447
147	-0.14677508328180944	62452.6168822706
148	-0.14675909154934047	62612.21025093814
149	-0.1467431404641085	62771.31012808635
150	-0.14672722969558316	62929.92052738167
151	-0.14671135891768175	63088.04540819929
152	-0.14669552780868578	63245.68867707407
153	-0.14667973605115972	63402.854188374105
154	-0.14666398333187164	63559.54574505994
155	-0.14664826934171554	63715.767100202334
156	-0.14663259377563573	63871.521957580204
157	-0.14661695633255295	64026.81397234475
158	-0.1466013567152921	64181.646752432556
159	-0.14658579463051172	64336.02385890951
160	-0.14657026978863516	64489.94880716602
161	-0.14655478190378324	64643.425067827455
162	-0.14653933069370853	64796.45606689875
163	-0.14652391587973096	64949.0451872205
164	-0.14650853718667511	65101.19576927579
165	-0.14649319434280883	65252.911111203015
166	-0.14647788707978315	65404.1944702405
167	-0.1464626151325736	65555.0490631407
168	-0.1464473782394229	65705.47806707374
169	-0.14643217614178472	65855.48461994895
170	-0.14641700858426893	66005.07182146196
171	-0.14640187531458787	66154.2427335506
172	-0.14638677608350387	66303.0003809695
173	-0.14637171064477772	66451.3477521057
174	-0.14635667875511865	66599.28779954779
175	-0.14634168017413496	66746.8234405204
176	-0.14632671466428593	66893.95755754995
177	-0.1463117819908347	67040.69299936529
178	-0.14629688192180218	67187.03258091018
179	-0.14628201422792195	67332.97908419881
180	-0.14626717868259587	67478.53525890027
181	-0.14625237506185107	67623.70382276762
182	-0.14623760314429726	67768.48746190443
183	-0.14622286271108553	67912.8888318853
184	-0.14620815354586744	68056.91055769676
185	-0.14619347543475542	68200.55523452624
186	-0.14617882816628358	68343.82542812587
187	-0.14616421153136966	68486.72367499623
188	-0.14614962532327738	68629.25248355971
189	-0.14613506933757997	68771.41433398695
190	-0.14612054337212407	68913.2116787441
191	-0.14610604722699455	69054.64694321828
192	-0.14609158070447992	69195.72252588972
193	-0.14607714360903856	69336.44079896995
194	-0.14606273574726536	69476.80410871336
195	-0.14604835692785942	69616.81477592936
